folio,rubrique,nom,statut_soc,objet,detail_objet,localisation,redevance
"f°28 verso, l.29",ter Capellen bi Brucele,Gilijs Laureis de beckere (barré) <aerd van den bosche de beckere>,de beckere?,1 voerhoede,van der venstren die was clichamers/tlichamers ,?,1 hellinc
"f°28 verso, l.29 aussi ",ter Capellen bi Brucele,barré,,,,,
"f°28 verso, l.30 (barré)",ter Capellen bi Brucele,[Gilijs docker de moledere van dornepe],[de moldere van dornepe?],[goede],[dat was Lombaerts tsetters],[?],[1 hellinc]
"f°29 recto, l.1",ter Capellen bi Brucele,Gilijs de molenslghere,molensleghere?,goede,dat was Jacobs wijf bukere,op de Capellestrate,obole
"f°29 recto, l.2",ter Capellen bi Brucele,Heinrec Scollen de vedermakere,de vedermakere,1 huis ende hofstat,die was Marien Suewaters ghecoecht ieghen Lambrechter den goutsmet,?,obole
"f°29 recto, l.3",ter Capellen bi Brucele,Aerd van Rusbroech <michiel van zennebrugghe>,?,1 voerhoed ,sire hofstat,?,1 denier
"f°29 recto, l.4",ter Capellen bi Brucele,Lucie Lambrechts Boys wijf van Obbrucele,?,?,?,?,obole
"f°29 recto, l.5",ter Capellen bi Brucele,Reynere van den Bosche,?,1 hofstat,die was Jan Biermans wijf,op de Hoechstrate,obole
"f°29 recto, l.6",ter Capellen bi Brucele,Reynere van den Bosche,?,1 hofstat,die was Aliten van den Bosche,?,obole
"f°29 recto, l.7",ter Capellen bi Brucele,Beatrijs van Steenhuffle,"""Jacob scoezutters wijf""",goede,van Laureis Hollanders goede van 1 dele hofstat die was Jan Bonincs,?,obole
"f°29 recto, l.8",ter Capellen bi Brucele,< Morissijs van Namen> Heinrec de Beyer,?,1/2 hofstat,Ledeharincs mention entière :It. Heinrec Beyer  van ½ hofstat lede harincs .ob. kath(eline) van wijnke(n)sele,?,obole
"f°29 recto, l.9",ter Capellen bi Brucele,Jan van Welle,?,1 voerhoede 1 hofstat?,1 hofstat?,bi Wouter Tripparts huis,1 denier
"f°29 recto, l.10",ter Capellen bi Brucele,Jan de Stroedeckere,?,1 condute 1 beken,1 beken sine huis?,?,1 denier
"f°29 recto, l.11 (barré)",ter Capellen bi Brucele,[Jan de Stroedekere?],[?],[goede],[dat was Jans van den borne dappenmangher vermagriete van 1 voerhoeed],[in de bellenstrate],[1 denier]
"f°29 recto, l.12",ter Capellen bi Brucele,<Jan van Yeve>,?,goede,dat was Gilijs tser Soys van Jans tser Soys goede van 1/2 hofstat,bi tser Lonijs Cranen,obole
"f°29 recto, l.13",ter Capellen bi Brucele,Jan van Yeve,?,1 voerhoede 1 hofstat,1 voerhoede 1 hofstat,op de Hoech strate,1 denier
"f°29 recto, l.14",ter Capellen bi Brucele,Willem Halfhuis ,?,"2,5 roeden ",/,?,"2,5 deniers payments"
"f°29 recto, l.14 aussi",ter Capellen bi Brucele,Willem Halfhuis ,?,1 andere hofstat,/,?,obole
"f°29 recto, l.15",ter Capellen bi Brucele,Jan de bleyckere de plackere,de bleyckere?,1 ou 1/2? Cleinen hoernecke 1 hofstat?,1 ou 1/2? Cleinen hoernecke 1 hofstat?,op den bucborne,1 denier
"f°29 recto, l.16",ter Capellen bi Brucele,Lodewijc van Rode,de timmerman,goede,"dat was Gilijs van der Heyden, dat hout Gilijs van Masenzele","CD1321 dans la rubrique""Supra Hoghestrate retro Franconem Muels""",2 deniers payments
"f°29 recto, l.17",ter Capellen bi Brucele,Vrancke van Delhem,?,?,/,"CD1321dans la rubrique ""Supra Hoghestrate retro Franconem Muels""",8 deniers payments
"f°29 recto, l.18",ter Capellen bi Brucele,Adaem van Bruichem,"""Peter Deckers sone""",goede,"van Vranx Muuls (goede, c'est/c'était le bien de Vranx Muul)","CD1321 dans la rubrique ""Supra Hoghestrate retro Franconem Muels""",3 deniers payments
"f°29 recto, l.19",ter Capellen bi Brucele,Vrancke Kerreman,?,"""van nuws van goede""",dat was Gherems van den nuwenhuis (le goede j'imagine pas le van nuws?),"CD1321 dans la rubrique ""Supra Hoghestrate retro Franconem Muels""",3 deniers payments
"f°29 recto, l.20",ter Capellen bi Brucele,Gherem van den nuwenhuis,de clerc,?,dat hout joffrouwe Zoete uten nuwen huis,"CD1321 dans la rubrique ""Supra Hoghestrate retro Franconem Muels""","3,5 deniers payments"
"f°29 recto, l.21",ter Capellen bi Brucele,Kateline van Rode/Bode,?,"goede -> Voerhoed? (ds le CD1321 : It. Franco de Busco, dictus Bakerman, de fronte domistadii dicti Roede Camme supra Altam stratam. 2 deniers",van Vranx goede van den Bosche die hiet Bakerman van .I. voerhoede die heet Roede Camme,op de hoeghestrate,2 deniers 
"f°29 recto, l.22",ter Capellen bi Brucele,Jan Baert,?,goede van 1 voerhoed : goede = voerhoede?,"""van Wouters Bastijns goede van .I. voerhoede sire hofstat die was Aerds Liefoghe wijf""","CD1321 dans la rubrique ""Supra Hoghestrate retro Franconem Muels""",1 denier
"f°29 recto, l.23 (barré)",ter Capellen bi Brucele,ghescreven op Jan den Moldere te Rode,ghescreven op Jan den Moldere te Rode,ghescreven op Jan den Moldere te Rode,ghescreven op Jan den Moldere te Rode,ghescreven op Jan den Moldere te Rode,ghescreven op Jan den Moldere te Rode
"f°29 recto, l.24",ter Capellen bi Brucele,Gherbeerch Lansvrouwen,?,1 hofstat,die was Magrieten Lansvrouwe,"""daer""",obole
"f°29 recto, l.25",ter Capellen bi Brucele,Gherbeerch Lansvrouwen,?,1 voerhoede,van der selver hofstat van nuws,"""daer""",obole
"f°29 recto, l.26",ter Capellen bi Brucele,Jan Danijs,de moldere,1 voerhoede,sire hofstat,ter Capellen,1 denier
"f°29 recto, l.27",ter Capellen bi Brucele,Colijn Boye,?,1 stretken,/,jeghen senne over dat nu een scone es,"1,5 deniers payments"
"f°29 recto, l.28",ter Capellen bi Brucele,Kateline tSer Soys ,"""Gilijs wijf tSer Soys""",haren huis & 1 voervanghe,daer si in woent (= huis),?,3 deniers
"f°29 recto, l.29",ter Capellen bi Brucele,Ian de smet van bensele/bersele,?,1 hoestalle,/,op de hoegstrate jeghen ? Over,2 deniers jarscare van??
"f°29 verso, l.1 (barré)",ter Capellen bi Brucele,[Gherarts Behaghelaerts wijf],[?],2 hofstaden?,[van der kinderen goede van Facueys van  2 hofstaden],[daer woende Egloys Boye ende Ghilijs Behaghelaert],"[van sente Danijs tseis, 1,5 deniers]"
"f°29 verso, l.2",ter Capellen bi Brucele,< Gherart dinghelsche de bleyckere van goede dat was>Aerd de Coninc,<de bleyckere>,1 hofstat,die was joffrouwe Yden uten Steenweghe,daer woende Dyonijs Pater Noster,"4,5 sols et 2 chapons"
"f°29 verso, l.3",ter Capellen bi Brucele,< Gherart dinghelsche de bleyckere van goede dat was>Aerd de Coninc??,<de bleyckere>????,1 voervanghe,/,bi her Bonincs onder ende boven,2 deniers
"f°29 verso, l.4",ter Capellen bi Brucele,Gilijs de Winter,?,1 voerhoede,sire hofstat,op den crekeldrijsch,2 deniers
"f°29 verso, l.5",ter Capellen bi Brucele,Gilijs de Winter,?,1 enen cleinen wechsbene,/,achter sijn hof,3 deniers
"f°29 verso, l.6",ter Capellen bi Brucele,<Magriete van buseghem van goede dat was> joffrouwe Alijte ven den Wissele ,?,1 hofstat,die wilen was Heinrec Leus wilen Aliten Timmermans ,bi Jans Robijns,"4,5 sols et 2 chapons"
"f°29 verso, l.7",ter Capellen bi Brucele,joffrouwe Alijte van den Wissele?,joffrouwe,1 hofstat,/,in den rechten wech ter Nuwer molen werd,12 deniers et 1 chapon
"f°29 verso, l.8",ter Capellen bi Brucele,Lonijs de Crane ende 1 ander wijf,?,van den selven goede,/,bi Jan Brueders bi der Sieckerliede?,1 denier
"f°29 verso, l.9",ter Capellen bi Brucele,Gilijs van Molvem/Molnem (barré et remplacé plus tard par Jan de Rode de kestere>,?,1 voerhoede,sire hofstat,daer hi woent bi Brukelens borne,3 deniers
"f°29 verso, l.10",ter Capellen bi Brucele,Godevert Vederman,?,goede? => hofstat ou 1 goede van 1 hofstat?,van Gissbrechts goede van Eleghem wilen beckere van sire hofstat,?,obole
"f°29 verso, l.11",ter Capellen bi Brucele,Heinrec van den Borne,?,goede van nuws?,van Peter Troest goede van nuws vore sine huis,bi de Rode Camme,2 deniers
"f°29 verso, l.12",ter Capellen bi Brucele,Willem van Molnem/Molvem <Jan Zecrabbe>,?,1 hofstat,die sire moeder was,?,1 denier
"f°29 verso, l.13",ter Capellen bi Brucele,Jan van Polsborec,?,1 voerhoede,sire hofstat,daermen gheet ten Wolle drijsch werd,3 deniers
"f°29 verso, l.14",ter Capellen bi Brucele,Jan van Polsborec,?,1 voerhoede,sire hofstat,?,obole
"f°29 verso, l.15",ter Capellen bi Brucele,Jacob van Alsenberghe,de beckere,sinen grade,vore sine huis,bi Rusbroec wikete,obole
"f°29 verso, l.16",ter Capellen bi Brucele,Jacob ende Heinrec Spieghelere ghebroedere,?,"""van 1 voerhoede 1 hofstat"" = le voerhoede d'un hofstat OU le voerhoed + hofstat ?",/,ieghen de Rode Camme,1 denier
"f°29 verso, l.17",ter Capellen bi Brucele,Gilijs van Rusbroec,daendoendere,1 voerhoede,"sire hofstat, dat hout Heine Coppens",in die Akeleystrate,3 deniers
"f°29 verso, l.18",ter Capellen bi Brucele,Heinrec Mich,?,1 voerhoede,sire hofstat,ieghen proefts hof van der Capellen,1 denier
"f°29 verso, l.19",ter Capellen bi Brucele,Jan Jans sone van Nederbeke <Heine de cupere>,?,1 voerhoede,/,op de Hoechstrate tuschen sijns vader huis ende Aerds Baertmakers,3 deniers
"f°29 verso, l.20",ter Capellen bi Brucele,vide,,,,,
"f°29 verso, l.21",ter Capellen bi Brucele,Jan Onijs,?,1 dele 1 hofstat,daer hi in woent,daer hi in woent,1 denier
"f°29 verso, l.22",ter Capellen bi Brucele,Bouden de Losche,?,1 voerhoede,"sire hofstat, daer hi in woent",daer hi in woent,obole
"f°29 verso, l.23",ter Capellen bi Brucele,Gilijs Staf <Jan Cluetinc>,de smed?,ere travalien,/,op de Hoeghestrate neven Peters Stafs,9 deniers
"f°29 verso, l.24",ter Capellen bi Brucele,Aerd van Winckesele die men heet de bartmakere,?,van dat hi sijn water van sine scanore leide mach ter strate uten,/,/,1 denier
"f°27 verso, l.1",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,3 hofstaden,op halfbuenderen die waren Heinrec Godenoys,?,2 deniers
"f°27 verso, l.2",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 hofstat,/,die gheleghen es ieghen Jan Leyde herincs,1 denier
"f°27 verso, l.3",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 hofstat,die was Jans diemen hiet Lettels,?,obole
"f°27 verso, l.4",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 hofstat,die was Ydeloyen Peridaens,die leet ieghen der Zieckerliede over tObbrucele,obole
"f°27 verso, l.5",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1/2 hofstat,die was Heinrex van Delheem,?,1 vijrlinbroed
"f°27 verso, l.6",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,?,die waren Godevert van den Staken,tObbrucele,"6 sols 10,5 deniers et 3 chapons"
"f°27 verso, l.7",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,goede,dat was Claes Maroten,daer => tobbrucele,"6,5 deniers et 1/2 chapon"
"f°27 verso, l.8",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,goede,van Jans Cnoden,"""daer"", in de nuwe strate",1 denier
"f°27 verso, l.9",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,hofstat,die waren Jans moeder Oliviers tspapen,bi der Zieckerliede,obole
"f°27 verso, l.10",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 hofstat,daer op woent Magriete Robijns wijf was,in de Bleickerie,18 et 1/2 chapon
"f°27 verso, l.11",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 hofstat,/,bi den Vleeschuse ter Capellen,2 deniers
"f°27 verso, l.12",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 obstalle ochte voerhoede,vore hare huis,achter tsproefts van der Capellen van nuws,3 deniers
"f°27 verso, l.13",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 anderen obstalle,vore de hofstat ,daer de cobbere op woent,1 denier
"f°27 verso, l.14",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 hofstat,die was Wouters Scalie wilen her Keys,?,12 denier et 2 chapons
"f°27 verso, l.15",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,goede,dat was Jans van den borne diemen heet dAppelmanghere van 1 voerhoede,in Verenbelenstrate,1 denier
"f°27 verso, l.16",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,goede,dat was Gherems van den Hoghenhuis,?,6 deniers
"f°27 verso, l.17",ter Capellen bi Brucele,de husarmen van der Capellen,de husarmen van der Capellen,1 hofstat,die was Heinrex Werijns,op de beke,6 deniers
"f°27 verso, l.18",ter Capellen bi Brucele,Kateline ou Magriete Mechiels dochter tsmols,?,1 hofstat,/,?,1 denier
"f°27 verso, l.19",ter Capellen bi Brucele,Alijt Naeldemakers,?,1 hofstat,die was Jans Papen wilen Aliten Stroeminnen,achter tsproefst van der Capellen,obole
"f°27 verso, l.20",ter Capellen bi Brucele,Jan van Yische,?,1 voerhoed,sire hofstat,bi den Vleeschuse ter Capellen,1 denier
"f°27 verso, l.21",ter Capellen bi Brucele,joffrouwe Kateline Sneps (van op beke????),joffrouwe,1 voerhoed?,van Beatrise Scrijnmakers van I voerhoed sire hofstat,bi der Sieckerlied behouden ieghewelcs rechter,6 deniers
"f°27 verso, l.22",ter Capellen bi Brucele,Jan de Vos,?,1 poerten,vore sine huis,op de Hoechstrate,1 denier
"f°27 verso, l.23",ter Capellen bi Brucele,Peter de Baest,?,1 voerwanghe,van Jans Dunnebiers weghen,jeghen Heinrex Couterwex over,3 deniers
"f°27 verso, l.24",ter Capellen bi Brucele,Maes de smet van der Clusen,de smet?,1 hofstat,ieghen Janne van der Plast ghecoecht,bi der Sieckerlied tObbrucele,obole
"f°27 verso, l.25",ter Capellen bi Brucele,Maes de smet van der Clusen,de smet?,1 voerhoede,sire hofstat die voerseit is => ieghen Janne van der Plast ghecoecht,voerhoede sire hofstat die voerseit is=> bi der Sieckerliede tobbrucele,2 deniers
"f°27 verso, l.26",ter Capellen bi Brucele,Jan van Rusbroec,de steenbickelere,1 voerhoede,sire hofstat omtrent 2 voete,?,1 denier
"f°27 verso, l.27",ter Capellen bi Brucele,Aerd de baercmakere/baertmakere wouter broeder,?,1 voerhoed,sire hofstat,in beiden siden op den hoernec,3 deniers
"f°27 verso, l.28",ter Capellen bi Brucele,Jan Cloet de goutsmet,de goutsmet,1 voerhoede,sire hofstat,?,1 denier
"f°27 verso, l.29",ter Capellen bi Brucele,meester Hughe van der Hutten,meester,1 voervanghe,?,ter Sieckerliede jeghen Cruse over,1 denier
"f°27 verso, l.30",ter Capellen bi Brucele,Heinrec Stoete de vleeschuwere,de vleeschuwere,1 kerdermonde?,vore sijn huis,ter Capellen onder Adaems Alarts huis was,1 denier
"f°27 verso, l.31",ter Capellen bi Brucele,Magriete Stonaerts ,?,haren keldermonde,?,?,3 deniers
"f°28 recto, l.1",ter Capellen bi Brucele,Gilijs Morbel,?,1 dele obstals,vore sine huis,?,1 hellinc
"f°28 recto, l.2 (barrée)",ter Capellen bi Brucele,[Jan van Brabant],[?],[voerhoed],[van Heinrecs Labus weghen van sinen voerhoed sire hofstat],[in den wech achter wilen was Aerds Lijfoghen],[6deniers]
"f°28 recto, l.3",ter Capellen bi Brucele,Aerd de Baertmakere/Baercmakere,?,1 hofstat,van Willem Coecs weghen,buten der Capellen poerte achter den hoernec op de Hergraecht,1 tournoy
"f°28 recto, l.4",ter Capellen bi Brucele,Vrancke <Jan> van Dideghem,?,sire hofstat,sire hofstat,daer,1 denier
"f°28 recto, l.4 aussi",ter Capellen bi Brucele,Vrancke <Jan> van Dideghem,?,1 hofstat med den huis,dat was Willems Cornets,?,2 deniers
"f°28 recto, l.5",ter Capellen bi Brucele,Vrancke <Jan> van Dideghem,?,1 hofstat,die was Seghers van Campernalijs,in dOrsendal,1 chapon
"f°28 recto, l.6",ter Capellen bi Brucele,Heine uten Horne,?,1 vorvanghe,van Diedeghems huse,?,6 deniers
"f°28 recto, l.7",ter Capellen bi Brucele,Woutere van Baesrode (barré) <Magriete Boelkens>,?,voerhoede,van sinen huis,bi der kercken,6 deniers
"f°28 recto, l.8",ter Capellen bi Brucele,Woutere van Baesrode (barré) <Magriete Boelkens>?,?,van nuws namaels ghegheven,/,?,3 deniers
"f°28 recto, l.9",ter Capellen bi Brucele,Woutere van Winckensele de bartmakere <Jan Clutinc>,de bartmakere,den anderen dele sire hofstat,/,?,6 deniers
"f°28 recto, l.10",ter Capellen bi Brucele,Woutere van Winckensele de bartmakere <Jan Clutinc?>,de bartmakere,van nuws,"van nuws  van 2,5 voete ende vore van 1 voete?","bi den hoernec in de cleine strate van 2,5 voete ende vore van 1 voete",12 deniers
"f°28 recto, l.11",ter Capellen bi Brucele,Woutere van Winckensele de batrmakere <Jan Clutinc?>,de bartmakere,grade van sinen kelder van nuws,/,?,1 denier
"f°28 recto, l.12",ter Capellen bi Brucele,Willem Cornet,?,1 hofstat,dat wilen was Gilijs van Leneke,achter de molen tobbrucele h. halfcapellen,8 sols 5 chapons
"f°28 recto, l.13",ter Capellen bi Brucele,Willem Cornet,?,goede,dat was her Cupers wijf Boudens dochter Groetrijs van 1 hofstat Ards van Gremberghen ,achter de molen,4 sols et 2 chapons
"f°28 recto, l.14",ter Capellen bi Brucele,Willem Cornet,?,goede,van Aerds van Gremberghen halfcapelle timmermans,daer bi den borne,7 sols et 2 chapons
"f°28 recto, l.15",ter Capellen bi Brucele,Jan Bacheleer <Willem Smout/Smont>,?,?,/,op den hoernec bi der kercken ieghen Heinrec Coerdekens,1 denier
"f°28 recto, l.15 aussi",ter Capellen bi Brucele,Jan Bacheleer <Willem Smout/Smont>,?,sinen keldermonde,/,?,1 denier
"f°28 recto, l.16",ter Capellen bi Brucele,Aerds wijf Pluckaf Gheroys wijf van den Hoghenhuis,?,1 voerhoede,sire hofstat,achter ende vore,16 deniers
"f°28 recto, l.17",ter Capellen bi Brucele,Aerds wijf Pluckaf Gheroys wijf van den Hoghenhuis,?,mure,van sire venstren,vore sine huis,1 denier
"f°28 recto, l.18",ter Capellen bi Brucele,Jan van Nederbeke van der capellen,?,voerhoede,sijns huis,?,6 deniers
"f°28 recto, l.19",ter Capellen bi Brucele,Jan van Nyvele och Magriete Mere Daeppelmanghere,?,voerhoed,sire hofstat,?,1 denier
"f°28 recto, l.20",ter Capellen bi Brucele,Heinrec tsas,?,van nuws,/,onder sinen soldere,3 deniers
"f°28 recto, l.21",ter Capellen bi Brucele,Jan Oemen <Adam Vitse>,? <proviseur huisarmen van Kappelleprochie>,goede,dat was Jans van der Heecht van den voerhoede sijns huis ,in den Sac,2 tornoys
"f°28 recto, l.22",ter Capellen bi Brucele,Gilijs Hannarts van Edinghen <Adam Vitse>,? <proviseur huisarmen van Kappelleprochie>,1 voervanghe,/,bi tser Lonijs Cranen op de Hoechstrate vore sine huis,3 deniers
"f°28 recto, l.23",ter Capellen bi Brucele,Jan van Rode <joff(rouwe) heilwi(n)ghe(n) van der heecht>,?,1 dele lands,vore sine scure,in deycstrate,2 tornoyse
"f°28 recto, l.24",ter Capellen bi Brucele,Jan van Rode <joff(rouwe) heilwi(n)ghe(n) van der heecht>,?,goede,van Gosens van der Heecht van 1 dele lands vore sine scure,in deystrate,1 denier
"f°28 recto, l.25",ter Capellen bi Brucele,Jan van Rode <joff(rouwe) heilwi(n)ghe(n) van der heecht>,?,1 cleinen beemde,/,te Kesterbeke,1 denier
"f°28 recto, l.26",ter Capellen bi Brucele,Godevert Rinijsch van Linckenbeke de timmerman,de timmerman,1 voerhoede,van sinen huis,op de Hoechstrate,1 denier
"f°28 recto, l.27",ter Capellen bi Brucele,Jan van Linckenbeke,?,1 hofstat,die was Heinrex van Overvelt,?,1 denier
"f°28 recto, l.28",ter Capellen bi Brucele,Jan van Linckenbeke,?,1 hofstat,bi sinen huis,in de Bleyckerie,obole
"f°28 recto, l.29",ter Capellen bi Brucele,Heinrec de Grove van der Sennen,?,scuren,die was Jans van Rode,in dEycstrate,2 tornoyse
"f°28 recto, l.30",ter Capellen bi Brucele,her Jan van Pede (barré) <Jan Benoet>,her (barré) <?>,scuren,die was Jans van Rode,in deycstrate,2 tornoyse
"f°28 verso, l.1",ter Capellen bi Brucele,Merten Lieve brueder ,?,vanden voerhoede,sire hofstat,in de neckerstrate,2 deniers
"f°28 verso, l.2 (barré)",ter Capellen bi Brucele,[Jan Dunnebier van Wolfverthem],[?],[voerhoede],[/],[ieghen Heinrec Couterwecsgs over],[3 deniers]
"f°28 verso, l.3",ter Capellen bi Brucele,Jan de Liscoecbeckere ochte de spoelùakere,spoelmakere?,voerhoed,sire hofstat,bi Blaes,3 deniers
"f°28 verso, l.4",ter Capellen bi Brucele,Jan de Barbijr van Aerschot ende Aerd van Goyle/Goyke,de barbijr?,voerhoede,hare hofstat van 2 cammeren,achter tsproefst,4 deniers
"f°28 verso, l.5",ter Capellen bi Brucele,Aerd van Asche (barré?),?,voerhoed,sire hofstat vore sine camme,in den rechten wech bi Lonijs Cranen,6 deniers
"f°28 verso, l.6",ter Capellen bi Brucele,Sarijs van der Capellen ,de lakensnidere,sire hofstat,van sent dyonijs tsieise,?,obole
"f°28 verso, l.7",ter Capellen bi Brucele,Sarijs van der Capellen ?,de lakensnidere?,1 dele obstals ,die Sarijs hout van der vrouwen van Mons,?,obole
"f°28 verso, l.8",ter Capellen bi Brucele,Ghijsbrecht Goutknop,?,?,?,?,obole tornoys
"f°28 verso, l.9 (barré)",ter Capellen bi Brucele,[Jan tuischere de beckere],[de beckere],[voerhoede],[sire hofstat],[?],[3 deniers]
"f°28 verso, l.10",ter Capellen bi Brucele,Heinrec Zuternoy <her Hughe van Coudenberghe>,?,1 hofstat,die was Maes van Kesterbeke,?,obole
"f°28 verso, l.11",ter Capellen bi Brucele,Heinrec Zuternoy ou her Hughe van Coudenberghe?,?,1 hofstat,daer op woent Alijt Grasels,daer op woent Alijt Grasels ,obole
"f°28 verso, l.12",ter Capellen bi Brucele,Jan van Liedekerke,?,goede,van meester Heinrex Inxhem,?,obole
"f°28 verso, l.13",ter Capellen bi Brucele,Meester Heinrex van Inxghem de steenbickelere,"meester, de steenbickelere",goede,van Philips van Dielbeke,?,obole
"f°28 verso, l.14",ter Capellen bi Brucele,Meester Heinrex van Inxghem de steenbickelere,"meester, de steenbickelere",trappen,/,boven in de waesstrate/blaesstrate neven tser Lonijs Craen,12 deniers
"f°28 verso, l.15",ter Capellen bi Brucele,Meester Heinrex van Inxghem de steenbickelere,"meester, de steenbickelere",1 voerhoede,sire hofstat,daer hi in woent,3 deniers
"f°28 verso, l.16",ter Capellen bi Brucele,Meester Heinrex van Inxghem de steenbickelere,"meester, de steenbickelere",1 anderen voerhoede,sire hofstat,daer hi in woent?,1 denier
"f°28 verso, l.17",ter Capellen bi Brucele,Jan <de Rode> de tuschere de moldere,de moldere?,1 voerhoede,"sire hofstat, die was Vranx van Delhem bi Gosens van der Heech",op de Hoechstrate bi Gosens van der Heech?,1 denier
"f°28 verso, l.18",ter Capellen bi Brucele,Jans Crane de tapijtwevere,tapijtwevere,sire hofstat,tenet arnt borreman,daer : op de Hoechstrate?,obole
"f°28 verso, l.19",ter Capellen bi Brucele,Kateline Lijsbetten dochter van Bersele <Jan van Kestere>,"""lijsbetten dochter van Bersele""",1 hofstat,"die haer moeder was , tenet danijs de moldere",in de Zuvelstrate,obole
"f°28 verso, l.20",ter Capellen bi Brucele,Gerarts van Bersele <Jan van Kestere??>,?,1 voerhoede,"sire hofstat, tenet danijs de moldere",op den hoernec daer,13 deniers payments
"f°28 verso, l.21",ter Capellen bi Brucele,Jan Couterwegghe,?,sire hofstat,/,?,obole
"f°28 verso, l.22",ter Capellen bi Brucele,Jan Couterwegghe,?,1 hofstat,die was Jans Cupermakers,?,obole
"f°28 verso, l.23",ter Capellen bi Brucele,Jan de Vrient,?,1 hofstat,/,op den Hoechstrate,obole
"f°28 verso, l.24",ter Capellen bi Brucele,Jan Halfhuis diemen heet troc/trot,?,1 hofstat,/,op de Hoechstrate,obole
"f°28 verso, l.25",ter Capellen bi Brucele,Jan van Sconneke <Vranx,?,goede,van Lijsbetten van Goyke,?,obole
"f°28 verso, l.26",ter Capellen bi Brucele,Lijsbeth van Goyke,?,1 hofstat,gertruden pluminen,bi der sieckerliele ende huttebaerts,1 vijrlincbroed
"f°28 verso, l.27",ter Capellen bi Brucele,Beatrijs Steenberchs <Jan de Jonghe>,?,1 hofstat,die was Hetterbaerts ende Pluminen,daer,3 vijrlincborec
"f°28 verso, l.28",ter Capellen bi Brucele,Beatrijs Steenberchs <Jan de Jonghe>,?,1 voerhoede,der voerseider hofstat,daer,1 denier et 1 vijrlincbroet
"f°28 verso, l.29",ter Capellen bi Brucele,Gilijs Laureis de beckere (barré) <aerd van den bosche de beckere>,de beckere?,1 voerhoede,van der venstren die was clichamers/tlichamers ,?,1 hellinc
"f°28 verso, l.29 aussi ",ter Capellen bi Brucele,barré,,,,,
"f°28 verso, l.30 (barré)",ter Capellen bi Brucele,[Gilijs docker de moledere van dornepe],[de moldere van dornepe?],[goede],[dat was Lombaerts tsetters],[?],[1 hellinc]
"f°29 recto, l.1",ter Capellen bi Brucele,Gilijs de molenslghere,molensleghere?,goede,dat was Jacobs wijf bukere,op de Capellestrate,obole
"f°29 recto, l.2",ter Capellen bi Brucele,Heinrec Scollen de vedermakere,de vedermakere,1 huis ende hofstat,die was Marien Suewaters ghecoecht ieghen Lambrechter den goutsmet,?,obole
"f°29 recto, l.3",ter Capellen bi Brucele,Aerd van Rusbroech <michiel van zennebrugghe>,?,1 voerhoed ,sire hofstat,?,1 denier
"f°29 recto, l.4",ter Capellen bi Brucele,Lucie Lambrechts Boys wijf van Obbrucele,?,?,?,?,obole
"f°29 recto, l.5",ter Capellen bi Brucele,Reynere van den Bosche,?,1 hofstat,die was Jan Biermans wijf,op de Hoechstrate,obole
"f°29 recto, l.6",ter Capellen bi Brucele,Reynere van den Bosche,?,1 hofstat,die was Aliten van den Bosche,?,obole
"f°29 recto, l.7",ter Capellen bi Brucele,Beatrijs van Steenhuffle,"""Jacob scoezutters wijf""",goede,van Laureis Hollanders goede van 1 dele hofstat die was Jan Bonincs,?,obole
"f°29 recto, l.8",ter Capellen bi Brucele,< Morissijs van Namen> Heinrec de Beyer,?,1/2 hofstat,Ledeharincs mention entière :It. Heinrec Beyer  van ½ hofstat lede harincs .ob. kath(eline) van wijnke(n)sele,?,obole
"f°29 recto, l.9",ter Capellen bi Brucele,Jan van Welle,?,1 voerhoede 1 hofstat?,1 hofstat?,bi Wouter Tripparts huis,1 denier
"f°29 recto, l.10",ter Capellen bi Brucele,Jan de Stroedeckere,?,1 condute 1 beken,1 beken sine huis?,?,1 denier
"f°29 recto, l.11 (barré)",ter Capellen bi Brucele,[Jan de Stroedekere?],[?],[goede],[dat was Jans van den borne dappenmangher vermagriete van 1 voerhoeed],[in de bellenstrate],[1 denier]
"f°29 recto, l.12",ter Capellen bi Brucele,<Jan van Yeve>,?,goede,dat was Gilijs tser Soys van Jans tser Soys goede van 1/2 hofstat,bi tser Lonijs Cranen,obole
